sitting,curled,1
couldnt,because,1
deny,it,1
the,other,2
for,its,1
they,couldnt,1
properly,so,1
very,nearly,1
while,dinah,1
chair,taking,1
the,window,4
other,way,1
her,childrens,1
first,theres,1
the,tail,1
phrase,lets,1
said,check,1
talking,more,1
comfortably,settled,1
only,it,1
so,to,1
she,wasnt,1
look,this,1
and,now,1
them,up,1
youre,the,1
i,saw,1
i,said,2
doubt,feeling,1
go,without,2
all,but,1
bonfire,and,1
voice,as,1
it,it,1
had,had,2
morrow,is,1
understood,it,1
herself,than,1
covers,them,1
without,fifty,1
very,pretty,1
the,red,2
the,fireplace,1
with,one,1
smoke,comes,1
had,really,1
thats,just,1
it,had,1
model,for,1
one,paw,2
up,to,1
i,was,3
for,number,1
them,so,1
says,go,1
first,she,1
then,putting,1
only,two,1
summer,comes,1
attend,kitty,1
it,got,2
had,any,1
face,washed,1
cat,and,1
disgrace,really,1
turns,of,1
ball,again,1
way,dinah,1
that,they,1
it,kisses,1
now,and,1
spread,over,1
can,tell,1
soft,it,1
unwound,every,1
three,you,1
getting,in,1
alice,dropping,1
her,now,1
youre,not,1
her,ear,1
saving,up,1
had,been,7
winding,up,1
again,but,1
lying,quite,1
worsted,to,1
them,then,1
going,to,1
long,argument,1
face,this,1
couldnt,have,1
cross,a,1
and,perhaps,1
if,youll,1
wish,i,2
wonder,if,1
off,the,1
in,that,1
i,do,2
putting,you,1
you,were,1
you,all,2
her,and,1
was,making,1
the,nose,1
watch,the,1
for,it,1
and,yards,2
whether,theyve,1
hearth,rug,1
childrens,faces,1
before,all,1
suppose,each,1
corner,of,1
kitten,was,1
listen,number,1
them,tight,1
better,manners,1
had,nothing,1
if,you,2
wrong,way,1
couldnt,i,1
was,hard,1
i,had,1
asking,it,1
theres,the,1
and,fields,1
trees,and,1
too,now,1
things,go,1
nearly,opening,1
hear,the,1
and,when,2
rest,and,1
round,the,1
at,last,1
however,the,1
,looking,1
sleepy,in,1
having,its,1
half,asleep,1
so,you,2
one,was,1
they,had,2
the,rest,1
all,come,1
one,finger,1
look,sleepy,1
youd,have,2
mischief,the,1
sent,to,1
half,talking,1
have,had,1
for,any,1
pretty,cried,1
ought,she,1
say,well,1
be,one,1
can,see,2
into,looking,1
a,bone,1
have,taught,1
pretending,to,1
was,sitting,1
they,do,1
of,worsted,2
day,before,1
added,looking,1
any,hand,1
ought,dinah,1
number,two,1
up,before,1
only,dinah,1
nose,and,1
that,it,5
on,holding,1
could,manage,1
get,upon,1
of,milk,1
good,but,1
wish,it,1
eat,them,1
kitten,had,4
bonfire,to,1
had,put,1
the,trees,1
she,went,2
a,chair,1
room,you,1
never,can,1
milk,before,1
middle,oh,1
face,all,1
glass,house,3
what,have,1
the,middle,1
outside,i,1
smile,my,1
all,in,1
your,arms,1
autumn,when,1
white,quilt,1
the,last,1
how,would,1
she,held,2
all,because,1
it,she,1
just,the,1
undone,again,1
with,it,1
certain,that,1
got,the,1
you,pulled,1
brown,kitty,1
youve,not,1
talking,to,1
time,sometimes,1
earlier,in,1
kitty,alice,2
you,purred,1
im,asking,1
only,the,2
speaking,her,1
you,cant,1
last,to,1
so,angry,1
them,than,1
of,them,3
and,so,1
in,disgrace,1
know,she,1
queen,off,1
dear,and,1
principally,alice,1
was,true,1
the,autumn,1
be,glad,1
really,dinah,1
game,of,1
excuses,but,1
my,dear,1
gently,and,1
that,bit,1
grand,game,1
morrow,here,1
ill,put,1
to,herself,3
just,as,3
this,morning,1
pretend,she,1
the,bonfire,2
to,a,1
oh,you,1
been,finished,1
more,to,1
it,hadnt,1
very,fast,1
arms,properly,1
and,if,1
rolled,down,1
up,all,2
thirsty,were,1
you,through,1
unwound,again,1
and,then,5
i,wasnt,1
rubbed,its,1
sticks,for,1
never,mind,1
that,much,1
house,one,1
it,seriously,1
but,listen,1
worsted,alice,1
and,putting,1
dear,lets,1
rolling,it,1
wouldnt,fold,1
to,help,1
i,can,1
she,scrambled,1
youd,been,1
fold,its,1
alice,catching,1
wants,plenty,1
now,if,1
was,speaking,1
more,excuses,1
cried,alice,2
upon,a,1
said,she,1
settled,again,1
thats,your,1
know,unless,1
ear,nurse,1
i,want,1
fault,for,1
guessed,if,1
won,if,1
there,it,1
you,sat,1
window,and,1
hard,at,1
for,the,3
shut,them,1
do,at,1
ill,tell,1
to,be,1
black,kitten,1
been,punished,1
you,couldnt,1
sister,only,1
eyes,open,1
if,youd,2
was,the,1
a,model,1
how,sulky,1
one,thing,1
fireplace,oh,1
nasty,knight,1
to,imitate,1
a,white,1
cant,deny,1
little,kiss,1
so,cold,1
sounds,just,1
alice,was,1
very,exact,1
go,the,1
the,winding,1
set,it,1
began,winding,1
get,on,1
understand,that,1
and,folded,1
alice,said,1
i,think,1
argument,with,1
punishments,for,1
mind,kitty,1
sometimes,to,2
suppose,they,1
then,with,1
begun,with,1
added,ill,1
heard,you,1
any,more,1
twice,while,1
away,by,1
looking,thats,1
as,soon,1
from,alices,1
beginning,with,1
and,alice,2
argued,that,1
table,and,1
arm,chair,2
now,you,2
the,worsted,3
not,good,1
our,fire,1
quilt,and,1
theyve,a,1
your,face,1
paw,she,1
progress,of,1
of,a,1
all,knots,1
own,tail,1
up,in,4
i,should,2
bit,of,1
would,look,1
the,room,1
the,end,1
know,whether,1
was,watching,1
purred,well,1
thats,very,1
it,would,2
faults,kitty,1
just,now,2
and,once,1
was,spread,1
that,the,2
would,you,1
to,purr,1
exactly,like,1
with,the,3
it,pretty,1
quarter,of,1
feeling,that,1
talking,all,1
thing,cried,1
been,doing,1
a,grand,1
the,afternoon,1
two,of,1
again,do,1
the,glass,1
nice,check,1
the,day,2
about,whenever,1
and,set,1
any,of,1
you,tidy,1
glass,that,1
and,down,1
that,youre,1
so,wish,2
were,only,1
the,leaves,1
think,if,1
week,suppose,1
had,quite,1
imitate,however,1
as,if,3
quite,a,1
because,the,1
up,one,1
went,on,3
floor,and,1
kitty,sat,1
kitten,as,1
entirely,for,1
dinner,then,1
the,arm,1
alice,had,3
all,my,2
