dance,about,whenever,the,wind,blows,oh,thats,1
i,was,very,nearly,opening,the,window,and,1
as,our,drawing,room,only,the,things,go,1
as,soon,as,they,were,comfortably,settled,again,1
it,when,i,get,upon,a,chair,all,1
had,been,having,its,face,washed,by,the,1
i,suppose,when,the,day,came,or,let,1
kitten,and,giving,it,a,little,kiss,to,1
knight,that,came,wiggling,down,among,my,pieces,1
id,far,rather,go,without,them,than,eat,1
you,whats,that,you,say,pretending,that,the,1
hand,in,the,mischief,the,way,dinah,washed,1
up,in,the,window,with,me,only,dinah,1
come,undone,again,and,there,it,was,spread,1
know,with,a,white,quilt,and,perhaps,it,1
know,i,was,so,angry,kitty,alice,went,1
here,i,wish,i,could,tell,you,half,1
a,fire,in,the,winter,you,never,can,1
bone,but,this,is,taking,us,away,from,1
snug,you,know,with,a,white,quilt,and,1
it,and,when,i,said,check,you,purred,1
your,eye,well,thats,your,fault,for,keeping,1
things,go,the,other,way,i,can,see,1
suppose,they,had,saved,up,all,my,punishments,1
looking,glass,house,one,thing,was,certain,that,1
disgrace,really,dinah,ought,to,have,taught,you,1
darlings,till,the,summer,comes,again,and,when,1
how,nice,and,soft,it,sounds,just,as,1
were,thirsty,were,you,how,do,you,know,1
some,one,was,kissing,the,window,all,over,1
she,added,ill,put,you,through,into,looking,1
say,for,yourself,now,dont,interrupt,me,she,1
had,really,frightened,her,old,nurse,by,shouting,1
that,the,kitten,was,speaking,her,paw,went,1
this,led,to,a,scramble,in,which,the,1
knee,pretending,to,watch,the,progress,of,the,1
,,,,looking,glass,house,one,1
and,sometimes,to,herself,kitty,sat,very,demurely,1
i,could,tell,you,half,the,things,alice,1
bit,of,the,worsted,while,i,wasnt,looking,1
the,winding,and,now,and,then,putting,out,1
still,and,trying,to,purr,no,doubt,feeling,1
do,you,know,i,was,so,angry,kitty,1
how,do,you,know,she,wasnt,thirsty,too,1
up,and,had,been,rolling,it,up,and,1
i,said,check,you,purred,well,it,was,1
all,meant,for,its,good,but,the,black,1
had,been,having,a,grand,game,of,romps,1
in,as,cross,a,voice,as,she,could,1
seriously,because,when,we,were,playing,just,now,1
nurse,by,shouting,suddenly,in,her,ear,nurse,1
our,drawing,room,only,the,things,go,the,1
once,well,i,shouldnt,mind,that,much,id,1
sometimes,to,the,kitten,and,sometimes,to,herself,1
kitten,wouldnt,fold,its,arms,properly,so,to,1
leave,off,never,mind,kitty,well,go,and,1
argument,with,her,sister,only,the,day,before,1
and,bearing,it,pretty,well,considering,so,you,1
she,wasnt,thirsty,too,now,for,number,three,1
turns,of,the,worsted,round,the,kittens,neck,1
out,into,the,snow,and,youd,have,deserved,1
dinah,ought,to,have,taught,you,better,manners,1
lying,quite,still,and,trying,to,purr,no,1
sulky,it,was,and,if,youre,not,good,1
at,the,end,of,a,year,i,should,1
upon,a,chair,all,but,the,bit,behind,1
go,to,sleep,darlings,till,the,summer,comes,1
them,do,you,hear,the,snow,against,the,1
themselves,all,in,green,and,dance,about,whenever,1
happened,now,dont,make,any,more,excuses,but,1
punishments,she,went,on,talking,more,to,herself,1
before,all,because,alice,had,begun,with,lets,1
green,and,dance,about,whenever,the,wind,blows,1
i,get,upon,a,chair,all,but,the,1
them,than,eat,them,do,you,hear,the,1
of,the,worsted,while,i,wasnt,looking,thats,1
bit,i,want,so,much,to,know,whether,1
and,trying,to,purr,no,doubt,feeling,that,1
entirely,for,the,white,kitten,had,been,having,1
arms,properly,so,to,punish,it,she,held,1
half,talking,to,herself,and,half,asleep,the,1
as,if,it,would,be,glad,to,help,1
went,on,talking,more,to,herself,than,the,1
kitty,dear,lets,pretend,and,here,i,wish,1
as,she,was,talking,all,the,time,sometimes,1
sounds,just,as,if,some,one,was,kissing,1
kiss,to,make,it,understand,that,it,was,1
and,see,the,bonfire,to,morrow,here,alice,1
had,to,leave,off,never,mind,kitty,well,1
of,worsted,to,clap,her,hands,and,i,1
i,do,so,wish,it,was,true,im,1
looking,glass,that,it,might,see,how,sulky,1
reproachfully,at,the,old,cat,and,speaking,in,1
ear,with,one,paw,and,then,with,the,1
to,do,with,it,it,was,the,black,1
succeed,principally,alice,said,because,the,kitten,wouldnt,1
it,was,a,nice,check,kitty,and,really,1
dress,themselves,all,in,green,and,dance,about,1
only,the,things,go,the,other,way,i,1
think,if,you,sat,up,and,folded,your,1
couldnt,because,there,were,only,two,of,them,1
alice,had,begun,with,lets,pretend,were,kings,1
looking,reproachfully,at,the,old,cat,and,speaking,1
the,day,came,or,let,me,see,suppose,1
till,the,summer,comes,again,and,when,they,1
to,herself,and,half,asleep,the,kitten,had,1
very,fast,as,she,was,talking,all,the,1
in,her,ear,nurse,do,lets,pretend,that,1
very,nearly,opening,the,window,and,putting,you,1
kissing,the,window,all,over,outside,i,wonder,1
three,turns,of,the,worsted,round,the,kittens,1
was,certain,that,the,white,kitten,had,had,1
nasty,knight,that,came,wiggling,down,among,my,1
tight,up,it,wouldnt,have,happened,now,dont,1
faults,number,one,you,squeaked,twice,while,dinah,1
wish,i,could,see,that,bit,i,want,1
watched,just,as,if,you,understood,it,and,1
scramble,in,which,the,ball,rolled,down,upon,1
getting,in,sticks,for,the,bonfire,and,it,1
just,now,you,watched,just,as,if,you,1
watching,the,boys,getting,in,sticks,for,the,1
she,went,on,talking,more,to,herself,than,1
eye,well,thats,your,fault,for,keeping,your,1
as,cross,a,voice,as,she,could,manage,1
doing,i,was,very,nearly,opening,the,window,1
loves,the,trees,and,fields,that,it,kisses,1
lets,pretend,and,here,i,wish,i,could,1
her,sister,who,liked,being,very,exact,had,1
your,face,this,morning,now,you,cant,deny,1
punish,it,she,held,it,up,to,the,1
if,youre,not,good,directly,she,added,ill,1
black,kitten,had,been,finished,with,earlier,in,1
fold,its,arms,properly,so,to,punish,it,1
led,to,a,scramble,in,which,the,ball,1
her,and,began,winding,up,the,ball,again,1
i,wish,i,could,tell,you,half,the,1
beginning,with,her,favourite,phrase,lets,pretend,she,1
the,afternoon,and,so,while,alice,was,sitting,1
far,rather,go,without,them,than,eat,them,1
kitten,what,would,they,do,at,the,end,1
pieces,kitty,dear,lets,pretend,and,here,i,1
i,heard,you,whats,that,you,say,pretending,1
in,the,middle,oh,you,wicked,little,thing,1
alice,began,youd,have,guessed,if,youd,been,1
all,the,rest,and,once,she,had,really,1
way,i,can,see,all,of,it,when,1
the,snow,and,youd,have,deserved,it,you,1
do,lets,pretend,that,im,a,hungry,hyaena,1
on,as,soon,as,they,were,comfortably,settled,1
the,kitten,and,sometimes,to,herself,kitty,sat,1
youd,been,up,in,the,window,with,me,1
i,saw,all,the,mischief,you,had,been,1
she,didnt,get,on,very,fast,as,she,1
all,your,punishments,for,wednesday,week,suppose,they,1
it,wouldnt,have,happened,now,dont,make,any,1
go,without,fifty,dinners,at,once,well,i,1
one,of,them,then,and,ill,be,all,1
in,the,summer,kitty,they,dress,themselves,all,1
was,speaking,her,paw,went,into,your,eye,1
round,the,kittens,neck,just,to,see,how,1
kitten,and,the,worsted,with,her,and,began,1
ball,as,if,it,would,be,glad,to,1
and,perhaps,it,says,go,to,sleep,darlings,1
in,a,corner,of,the,great,arm,chair,1
had,been,doing,i,was,very,nearly,opening,1
yet,you,know,im,saving,up,all,your,1
same,as,our,drawing,room,only,the,things,1
say,beginning,with,her,favourite,phrase,lets,pretend,1
at,the,nose,and,just,now,as,i,1
saucer,of,milk,before,her,what,you,were,1
the,boys,getting,in,sticks,for,the,bonfire,1
couldnt,i,was,watching,the,boys,getting,in,1
it,up,to,the,looking,glass,that,it,1
you,couldnt,i,was,watching,the,boys,getting,1
check,kitty,and,really,i,might,have,won,1
kitten,and,sometimes,to,herself,kitty,sat,very,1
now,do,try,theres,a,dear,and,alice,1
speaking,her,paw,went,into,your,eye,well,1
yards,and,yards,of,it,got,unwound,again,1
old,cat,for,the,last,quarter,of,an,1
the,things,go,the,other,way,i,can,1
certain,that,the,white,kitten,had,had,nothing,1
the,red,queen,kitty,do,you,know,i,1
in,which,the,ball,rolled,down,upon,the,1
pretty,well,considering,so,you,see,that,it,1
any,more,excuses,but,listen,number,two,you,1
tangles,with,the,kitten,running,after,its,own,1
one,you,squeaked,twice,while,dinah,was,washing,1
it,would,be,glad,to,help,if,it,1
the,fireplace,oh,i,do,so,wish,i,1
quite,a,long,argument,with,her,sister,only,1
room,you,can,see,through,the,glass,thats,1
white,kitten,had,been,having,its,face,washed,1
been,doing,i,was,very,nearly,opening,the,1
looking,glass,house,how,would,you,like,that,1
asleep,the,kitten,had,been,having,a,grand,1
long,argument,with,her,sister,only,the,day,1
to,the,kitten,lets,pretend,that,youre,the,1
tell,you,all,my,ideas,about,looking,glass,1
about,looking,glass,house,first,theres,the,room,1
went,on,as,soon,as,they,were,comfortably,1
queens,and,her,sister,who,liked,being,very,1
never,can,tell,you,know,unless,our,fire,1
snow,and,youd,have,deserved,it,you,little,1
theres,a,dear,and,alice,got,the,red,1
boys,getting,in,sticks,for,the,bonfire,and,1
with,me,only,dinah,was,making,you,tidy,1
fault,entirely,for,the,white,kitten,had,been,1
paw,and,then,with,the,other,paw,she,1
two,of,them,and,alice,had,been,reduced,1
,,,,,,,looking,1
sleep,darlings,till,the,summer,comes,again,and,1
if,you,sat,up,and,folded,your,arms,1
earlier,in,the,afternoon,and,so,while,alice,1
can,see,through,the,glass,thats,just,the,1
which,the,ball,rolled,down,upon,the,floor,1
of,them,and,alice,had,been,reduced,at,1
kitty,well,go,and,see,the,bonfire,to,1
do,you,know,i,think,if,you,sat,1
kitten,which,was,lying,quite,still,and,trying,1
a,white,quilt,and,perhaps,it,says,go,1
hard,at,work,on,the,white,kitten,which,1
up,in,the,summer,kitty,they,dress,themselves,1
have,taught,you,better,manners,you,ought,dinah,1
get,upon,a,chair,all,but,the,bit,1
too,now,for,number,three,you,unwound,every,1
it,a,little,kiss,to,make,it,understand,1
with,her,sister,only,the,day,before,all,1
she,held,it,up,to,the,looking,glass,1
autumn,when,the,leaves,are,getting,brown,kitty,1
you,little,mischievous,darling,what,have,you,got,1
morning,now,you,cant,deny,it,kitty,i,1
drawing,room,only,the,things,go,the,other,1
to,be,going,without,a,dinner,then,when,1
for,it,to,imitate,however,the,thing,didnt,1
about,whenever,the,wind,blows,oh,thats,very,1
cross,a,voice,as,she,could,manage,and,1
dinners,at,once,well,i,shouldnt,mind,that,1
you,sat,up,and,folded,your,arms,youd,1
quarter,of,an,hour,and,bearing,it,pretty,1
and,when,i,said,check,you,purred,well,1
the,miserable,day,came,i,should,have,to,1
into,looking,glass,house,how,would,you,like,1
were,you,how,do,you,know,she,wasnt,1
thing,didnt,succeed,principally,alice,said,because,the,1
they,dress,themselves,all,in,green,and,dance,1
that,nasty,knight,that,came,wiggling,down,among,1
and,alice,had,been,reduced,at,last,to,1
when,the,day,came,or,let,me,see,1
been,up,in,the,window,with,me,only,1
tell,you,half,the,things,alice,used,to,1
got,unwound,again,do,you,know,i,was,1
like,that,now,if,youll,only,attend,kitty,1
put,down,the,saucer,of,milk,before,her,1
if,it,might,do,you,know,what,to,1
winding,up,the,ball,again,but,she,didnt,1
talk,so,much,ill,tell,you,all,my,1
for,keeping,your,eyes,open,if,youd,shut,1
they,had,to,leave,off,never,mind,kitty,1
been,trying,to,wind,up,and,had,been,1
all,my,ideas,about,looking,glass,house,first,1
paw,went,into,your,eye,well,thats,your,1
had,put,down,the,saucer,of,milk,before,1
if,youll,only,attend,kitty,and,not,talk,1
whenever,the,wind,blows,oh,thats,very,pretty,1
wicked,little,thing,cried,alice,catching,up,the,1
in,the,afternoon,and,so,while,alice,was,1
if,you,understood,it,and,when,i,said,1
i,should,be,sent,to,prison,i,suppose,1
my,dear,im,asking,it,seriously,because,when,1
pretend,that,youre,the,red,queen,kitty,do,1
to,say,well,you,can,be,one,of,1
so,you,couldnt,i,was,watching,the,boys,1
mind,kitty,well,go,and,see,the,bonfire,1
were,kings,and,queens,and,her,sister,who,1
it,kitty,i,heard,you,whats,that,you,1
as,they,were,comfortably,settled,again,when,i,1
of,romps,with,the,ball,of,worsted,alice,1
you,purred,well,it,was,a,nice,check,1
here,alice,wound,two,or,three,turns,of,1
grand,game,of,romps,with,the,ball,of,1
it,would,look,this,led,to,a,scramble,1
the,window,and,putting,you,out,into,the,1
again,and,there,it,was,spread,over,the,1
wants,plenty,of,sticks,kitty,only,it,got,1
all,my,punishments,she,went,on,talking,more,1
had,been,finished,with,earlier,in,the,afternoon,1
you,know,you,ought,she,added,looking,reproachfully,1
your,fault,for,keeping,your,eyes,open,if,1
not,been,punished,for,any,of,them,yet,1
again,but,she,didnt,get,on,very,fast,1
i,might,have,won,if,it,hadnt,been,1
of,sticks,kitty,only,it,got,so,cold,1
rolled,down,upon,the,floor,and,yards,and,1
the,looking,glass,that,it,might,see,how,1
tail,just,as,i,had,put,down,the,1
wiggling,down,among,my,pieces,kitty,dear,lets,1
after,its,own,tail,in,the,middle,oh,1
talking,all,the,time,sometimes,to,the,kitten,1
soft,it,sounds,just,as,if,some,one,1
to,make,it,understand,that,it,was,in,1
that,it,might,see,how,sulky,it,was,1
