little,annoyed,with,the,1
over,the,hearth,rug,1
room,too,but,that,1
i,was,very,nearly,1
the,queen,replied,you,1
shouting,suddenly,in,her,1
dear,i,turned,cold,1
it,look,as,if,1
of,the,question,it,1
as,soon,as,they,1
walking,about,two,and,1
and,began,writing,a,1
sitting,on,the,edge,1
of,them,then,and,1
by,shouting,suddenly,in,1
only,pretence,just,to,1
it,was,spread,over,1
and,when,she,got,1
room,how,would,you,1
the,glass,was,beginning,1
passage,as,far,as,1
it,couldnt,have,had,1
with,a,white,quilt,1
over,the,wrong,way,1
yards,of,it,got,1
shouldnt,mind,that,much,1
would,be,if,we,1
the,glass,and,had,1
white,kitten,had,been,1
and,perhaps,it,says,1
alice,thought,to,herself,1
fireplace,and,she,was,1
looking,about,and,noticed,1
she,took,hold,of,1
that,what,could,be,1
with,her,favourite,phrase,1
to,morrow,here,alice,1
if,you,dont,make,1
be,seen,from,the,1
going,without,a,dinner,1
the,books,are,something,1
foot,alice,was,very,1
doing,i,was,very,1
sometimes,to,the,kitten,1
the,white,king,who,1
beyond,oh,kitty,how,1
next,it,is,the,1
because,the,kitten,wouldnt,1
last,he,panted,out,1
got,the,face,of,1
asleep,the,kitten,had,1
milk,in,there,perhaps,1
all,her,life,such,1
might,as,well,dust,1
my,imperial,kitten,and,1
i,should,be,sent,1
as,the,king,took,1
as,cross,a,voice,1
hardly,hold,you,and,1
chessmen,were,walking,about,1
the,queen,the,king,1
and,when,they,wake,1
it,sounds,just,as,1
looking,glass,house,one,1
dinners,at,once,well,1
he,could,neither,hear,1
to,punish,it,she,1
if,youre,not,good,1
saved,up,all,my,1
behind,the,fireplace,oh,1
that,moment,the,king,1
they,had,to,leave,1
began,winding,up,the,1
for,him,and,at,1
now,dont,smile,my,1
in,arm,i,dont,1
little,thing,cried,alice,1
king,took,an,enormous,1
hair,and,set,him,1
it,is,the,voice,1
into,a,fit,she,1
in,the,old,room,1
fear,of,frightening,them,1
little,lily,was,nearly,1
anxious,to,be,of,1
up,one,of,our,1
mischievous,darling,what,have,1
book,out,of,his,1
she,scrambled,back,into,1
was,a,real,one,1
of,it,in,the,1
red,king,and,the,1
and,unhappy,and,struggled,1
sure,its,got,oh,1
please,dont,make,such,1
you,out,into,the,1
it,she,found,he,1
in,time,to,see,1
his,mouth,went,on,1
she,found,he,had,1
you,all,your,faults,1
tell,you,all,your,1
that,they,couldnt,because,1
to,morrow,is,kitty,1
gently,touching,the,ball,1
of,worsted,to,clap,1
that,it,might,see,1
the,little,lily,in,1
them,the,chessmen,were,1
a,bone,but,this,1
and,he,and,the,1
was,watching,the,boys,1
thing,was,certain,that,1
seemed,to,be,all,1
her,hand,shook,so,1
in,a,frightened,whisper,1
that,it,was,in,1
it,might,do,you,1
left,behind,so,i,1
the,side,of,the,1
how,nice,and,soft,1
several,of,the,chessmen,1
were,talking,together,in,1
punished,for,any,of,1
king,and,the,red,1
the,red,king,and,1
and,went,round,the,1
through,why,its,turning,1
been,finished,with,earlier,1
declare,itll,be,easy,1
were,comfortably,settled,again,1
queen,and,set,her,1
opening,the,window,and,1
the,snow,and,youd,1
was,hard,at,work,1
her,breath,a,little,1
nurse,do,lets,pretend,1
but,she,didnt,get,1
put,her,head,closer,1
surprise,she,was,down,1
might,do,you,know,1
talking,together,in,a,1
cant,see,me,i,1
got,back,with,it,1
larger,and,larger,and,1
brightly,as,the,one,1
folded,your,arms,youd,1
all,the,mischief,you,1
a,fire,in,the,2
the,looking,glass,had,1
when,we,were,playing,1
old,room,was,quite,1
queen,said,if,you,1
say,beginning,with,her,1
his,breath,away,but,1
oh,i,do,so,1
i,think,youre,tidy,1
faults,kitty,and,youve,1
ball,as,if,it,1
it,kisses,them,so,1
for,he,was,covered,1
place,to,find,one,1
the,worsted,while,i,1
of,that,moment,the,1
you,hear,the,snow,1
but,in,another,moment,1
if,they,had,a,1
cross,a,voice,as,1
they,do,at,the,1
shook,so,with,laughing,1
check,you,purred,well,1
with,the,other,paw,1
puzzled,and,unhappy,and,1
imperial,fiddlestick,said,the,1
sent,to,prison,i,1
house,one,thing,was,1
next,the,fire,seemed,1
to,have,taught,you,1
now,and,then,putting,1
and,she,took,hold,1
you,squeaked,twice,while,1
ashes,from,head,to,1
how,she,had,got,1
shall,never,never,forget,1
the,winter,you,never,1
heard,you,whats,that,1
and,sometimes,to,herself,1
to,say,well,you,1
for,number,three,you,1
king,made,when,he,1
poor,thing,down,by,1
kittens,fault,entirely,for,1
they,cant,see,me,1
sulky,it,was,and,1
time,to,see,one,1
romps,with,the,ball,1
you,pulled,snowdrop,away,1
chimney,piece,you,know,1
little,out,of,breath,1
took,an,enormous,memorandum,1
